f,z10r,z10i
1.03640364036402e+05,-2.76704666785185e-02,-1.42699663263608e+01
1.03650365036502e+05,-2.76293982568586e-02,-1.43033357894497e+01
1.03660366036602e+05,-2.75920656693732e-02,-1.43366529157349e+01
1.03670367036702e+05,-2.75584345166747e-02,-1.43699223832475e+01
1.03680368036802e+05,-2.75284726203431e-02,-1.44031488277483e+01
1.03690369036902e+05,-2.75021499786357e-02,-1.44363368454943e+01
1.03700370037002e+05,-2.74794387250688e-02,-1.44694909959509e+01
1.03710371037102e+05,-2.74603130897777e-02,-1.45026158044543e+01
1.03720372037202e+05,-2.74447493635697e-02,-1.45357157648255e+01
1.03730373037302e+05,-2.74327258645891e-02,-1.45687953419415e+01
1.03740374037402e+05,-2.74242229075217e-02,-1.46018589742660e+01
1.03750375037502e+05,-2.74192227752684e-02,-1.46349110763424e+01
1.03760376037602e+05,-2.74177096930267e-02,-1.46679560412521e+01
1.03770377037702e+05,-2.74196698047215e-02,-1.47009982430427e+01
1.03780378037802e+05,-2.74250911517313e-02,-1.47340420391262e+01
1.03790379037902e+05,-2.74339636538646e-02,-1.47670917726533e+01
1.03800380038002e+05,-2.74462790925396e-02,-1.48001517748638e+01
1.03810381038102e+05,-2.74620310961320e-02,-1.48332263674176e+01
1.03820382038202e+05,-2.74812151274534e-02,-1.48663198647076e+01
1.03830383038302e+05,-2.75038284733328e-02,-1.48994365761598e+01
1.03840384038402e+05,-2.75298702362736e-02,-1.49325808085187e+01
1.03850385038502e+05,-2.75593413281650e-02,-1.49657568681260e+01
1.03860386038602e+05,-2.75922444660301e-02,-1.49989690631904e+01
1.03870387038702e+05,-2.76285841697967e-02,-1.50322217060546e+01
1.03880388038802e+05,-2.76683667620816e-02,-1.50655191154595e+01
1.03890389038902e+05,-2.77116003699810e-02,-1.50988656188094e+01
1.03900390039002e+05,-2.77582949288665e-02,-1.51322655544413e+01
1.03910391039102e+05,-2.78084621881878e-02,-1.51657232738986e+01
1.03920392039202e+05,-2.78621157192868e-02,-1.51992431442148e+01
1.03930393039302e+05,-2.79192709252338e-02,-1.52328295502062e+01
1.03940394039402e+05,-2.79799450526985e-02,-1.52664868967798e+01
1.03950395039502e+05,-2.80441572058725e-02,-1.53002196112558e+01
1.03960396039602e+05,-2.81119283624646e-02,-1.53340321457096e+01
1.03970397039702e+05,-2.81832813917947e-02,-1.53679289793346e+01
1.03980398039802e+05,-2.82582410750134e-02,-1.54019146208285e+01
